Numero_Identificacion,Renta A̱o Anterior
5e664f5664dabbcb3c72f6a0bc7770a9771ce53f2d6afdde3f74f62fefe7d932,3037.84
b009fe4f6eaa3cc7cba81e310be73e27127265b781a3b3b1f81d25905bb87c13,1690.75
a95788a7964da6a63e3cbb1729d321cbe7d50fd72f7972efc298d7829045559f,7424.2
424a70e35540df206e406f18fb3ed8449b90fab35c49410caa1bb08370660da5,8083.65
5ea861b9d7897321a0357b29fd2f5ae8e7b52b52f83028d12e265d23880ce3e7,7666.41
2d8005dfa12e57dbfa76f8d70f813d41eca0edee7b645316fc78536207f2f83c,7292.49
fca4ba6b3c6b3d65e29181088b12e2af65d569e09e4c9136781ee690b3823446,10770.13
789f83d635eb45e0ed92cbc77e514b718e1b20c30c4c9a06b722d93c26ef91da,3515.5
40a889d2d857933e6535c90278d4ad18e32cdf5d5836be2b04fc41821ec79d3e,11552.04
3b2368d7d52a1edca633a128dbcf41ea88bec5f5a86c31f8450abd2af6db5942,8524.21
74c5cc406976ce8ab09426f6d5d3f40a26cf185885fcb180223bd94a86797eea,7723.52
c10ff9b266feee5480cf3f575b8fe467c1e0a7ca2e4a9ad45a875de89b98f074,578.59
2b90a4bd208b473ceed6f4d29eca334c1f3814c132701a3cd89c5738d5075c99,7350.95
23f58eb0b79620cbde15fae4d91bdbebd437cf986c576c1d8e83e8763afc167f,7548.48
2a854bd07a9e10d97970619018e6d05c1746f6650ae76d6e828593dc06766a79,10277.6
7a95b214b866c37b5f26081c0ebfc38b1529413c3fa57c65bb40a1dcd5ba131a,903.93
e8702b07bcfe85be88c0dbea6f9c8d4b93271fb0cc2726bc46c0aae31641561d,6225.13
a9b460a58510506bd1d2eb46bb7bb378a7f0f071c81e784c5c753d079a875980,1998.18
108dadf8db9239e73d8e5ff7372fbe6c53bce244f400e67e580a062685d28b5a,11504.86
15959e54c2e6602374abc0dfb2d312841f1a0ffc0ac85e1fc663e17ccc896138,765.84
2920afdcff20a79dd9c5c3d848bf82863bee1cb7adc248dde9f23b425b380266,6739.29
7f43eab10b563af390add69a400ba1d120da4351509fc922c7d3c221ef71578a,4898.47
e5d930825beffe89afd4105801c1319bcd90c6e1f76eb5f08f713d0a12302865,8642.23
d69be1f178dd6f7fc34265097d6e32337d76e96fe39253fccc6782627b6bd220,1178.21
b480409e972069f73db436c7c53d0b18e5b3df2812b19831a3ca99237cc0c527,7219.51
237a2de5ae791c6a6099a36f2ac4cc2d2b653bff3b89872654f2856230685efa,10658.3
2d65c22fee5509b94e24368be13b5a6ad2cf1a381a35f4b39ff458d0e9f0395e,2832.92
0c51bd48d0ae1879fb47c7f902cdd3d3747c078a57b2a70430e0509ae15c8bb5,898.89
05d2433432e80b76c767b7c676392dadafa852910a3bd4c22ebb93d61c4f17cf,7985.19
c807b64c38f079f97aafd30634e7aec7f505d4a6f31cd79d637b2ad2f4133c52,10864.34
7075783cc9d1c96216b28f78a94bc6dd707075300f8868e682cd543680958bbd,6833.3
30047148e8c0432fa9e2cec4985b231507e3399bec4da4f3fc920c78169de7af,7495.26
43aa76f5ff5d6ffdbbcb0c226d2d62e1df65c790ca4ac42542993e2674652a91,3337.61
cfe6d9425f0a3ea27a8ec3f0d4e51712d7ca52ae94bf5aa905039e696d444ee6,6955.65
801c015314ba86c403458dfa8742d37d389766c6e48b8e9fccc29f1cc1a93c91,7783.53
ff3a065bb1eea5762a4ec2f36f7974c8548a212a646cc529907e835a199ca934,499.76
17184b86eac5405e4755541f5d032e00d23d2c411b742a82efa975414339c461,10495.15
b4b40b01944e24cdba1f25e221e6a2f442caf967911f13154b6e01666457e3dd,11611.13
41ad6f9b739e4c39326686b68b2be46bb5814e983350b41f96ebe84fa794f7a0,9260.65
a208069d3283b10798b447befdd9dfce25b5f86fb5e3c8a17fd1f50b33d563c0,9582.68
a57eb2399363d9d06594f9d2e0e741302f887888bcc64026287cfb802cd14a01,2905.17
62b31c1b6ab8c535b9d8aa6e8d5637d8f26c1e6ea6204a760f7430b4c7ed5d4b,816.79
7eaf77eb8caad9fb27725c4c0f1f88e6475df5f56ef79f562330bc7797b99852,10292.64
19e3855465ec93991954d2bc3a231f253eec21cd625293ebed4ea64579be64af,9044.08
ab8d2b05554e831207a05d9d310b2fb40117db11e70f54c37222957a8b4aa0af,8878.42
0faf7ad531e019dccf8ff2a009f365d05220054c18a0047a0b46a1d1afbd369a,11525.79
501278efa467b6d6576e234136af7300ff0e928d3d9977eb5c575debccd90f34,11006.24
d70163acbbbc773cf42c29d67b8b73ca3b4ad6d48c4c47bb19c4bf8ef2f760d4,11997.36
fba8be5895fb161b05f75ca3ad71df4a0ac507f3f8ebbb4a470a50d54db86c1b,3824.11
88709105cdea350edbf1e4b19ad73c9477689c21f122f17adb493d0e1e3b497d,3229.37
77f5475061ee8e5212e87402f764670f6a9877c98ee10fc1c6a103b047abc4fc,10272.2
24122775b15763fe65643d4cadd9c4c1841101fa22b81ee116b3e2e3dd8b4d59,2611.76
6731146292e6cdd80cb7243f394c8edabac57e0254d8305dce45a377dc7110da,8890.8
18f326643a4f557710d89646fbaf4a10448ef4585c961df6c1954dfb8adb8173,1579.71
3b6d0ed5f40654e0c87b23e4e69e1358d2ef23a9f61a6628436a284c0d81d89c,4750.8
abd3953712996fcbba28f47e07017aef97b2905492551a65e5f3bca310b9959d,9668.21
3556228aa1bd1764b53d7c25c1c7e250259caf66431b656736e549ed3dbd9fcf,3558.68
a8b17e44bb253da2b6af2a817ddfc15a8638b0050422be0f113c7855183caf74,11616.82
3d9ee618f08936e9f9bd072b014cd385efda06eee25a29e4bd23968e4c56c13e,4849.64
91503cb74a07b190e94858058ac72d6e9a188dd9e5f869a4d3d6ad5d1c20bd0c,6335.16
92b84ccef28a0a306257ace7b45a86d92722ed823a77ded6e7ceb93def86f0b2,4517.64
9ed7d9ed2c8ba71b7132602c02eae5e7ba9ac5f106a0c2e8ab5d335ed0fa4c03,8637.29
b854c5a734fc54cd193b00b0ec62ce96da7a0cdb8fe3ec1cad74af55791ac2e3,3962.04
f0e7eddf63a0d529fdf8ce20bccfc33297f2af728ec837ff2fd6ed45913cad30,10067.34
4205a1693b32873694b976b171b019f05b53339cd9eae02d1f70a8822b896d43,5585.34
4c8627aef1ba8dd386a9975782bafb0d8474dff58c5462c66a916f74164ac7a3,3490.17
49ef30b662e5b0ca2dcdc53247e04eac7783d25394ba9cdb29ee7ba46c384a98,9800.31
1c41b677063cc3ad1450c160048f3adbb1928ff36c6430043735e0465cd53cda,5335.7
50e817b77f29e717b5b5c8ce7eb320009ca18c0830923c85a93ded3759f46065,4961.56
bb2f8bb049f0fe4c9dd11bdf2015be41ca84d2a365642ae3f798a15e705f1138,7041.34
fa55f992fd81698d7b4b2ebfb49feea20b3aed3a3d6c2be6ef95511a91ac3536,6645.91
34d893f18d05549c6d920f6b704b922f28ab757396d660974d8e47b353d4e644,7666.27
82fa27ff2bab36a34212857ad6b7ee557965c9c8e18ade347f32b6b83b46e9d0,9871.11
29ccea8c1617e7d5c84e3a64dba0e5d9214ba8068d08fb75e1d3f287c881710f,10163.06
e95916deed85425669174b1ffb7b0e5be31d6202ed8f6b49cb8aed8a98742a7f,9676.81
b1531c0bbd4c35e3d80cf8136f4cb8f9c716c438914e801cc2dad25f49b6a3b2,8466.2
d886652e9f0957067fa99538b55afe7f895b9be45daa66abec12d9fec25c550b,4824.42
6e9cd12b62a7449cddca0e40eb5549a6faf249d9efafb821521efd8ac4aff8f0,7837.7
a73ddeb6af071e0016fd7cb1509f10f8e88910cf198e957d63d69e840e60bae6,4050.67
fde568b0d31a1f6c5ae1b7630312e89f36062b3b50d84f09ab12a775e5a2d4e7,2705.62
9dc33a04bed236d87be901f69f2ab2fa7b1babae02dae1261d118ed2938b15e2,8264.19
4990ffbbf29c6166388ac407efa537dcb8816f0f893593bc358b32a04103dc4e,2656.99
34932e85c2d292cb97a2282f18b6acd97a8ac05ee65b0a914b282402ea5b6684,10417.31
f81f750f99e03ff356d03453dfb6c69d66f25724129250f1cc1da0966e393658,11620.65
71c229e47fa1d4be6157287da6116de2c2c948ae5839c49b8d11bc6c9af9718b,9455.4
04c3a776855e3f03006a187adc11e7138af2a4c63cf4273ded202d65d46ced96,416.52
18573775ff634bc1c6b5af7b0228eb8a5fd325cca2732276acd3f7328dadaca9,11029.83
a6d216448690d5de9bbf4ac0b8c00a61c9a175e0a49d21765aa0623f41dcb5d2,3571.12
8c3f5a9378846ce195b6d15cc00650da887d0a13893009785c8475d35642b58a,7129.04
95927d91d2405e51cb0c7cdaffc2e32cb01f15b537966bd8aa8a6c67decfd46c,10481.46
10e1d6091d43480f84ee526abda1ccc547bab578bc4f3f8afd349faa2e87674c,1418.16
1fa2916d9ccfa93a3abfb1c4323c22b2e4ec2f5eb86b621c4b0078d7bc78844e,10495.97
ea3fe995d274c9a7eee795522b3e26d4bdd63966338e3b07d5486d275df02575,3766.47
e961f9a5afdd513b715efbf99337ba8a3a05c3c61575f4db741a5e10c58c308f,2266.71
84022f145277d8658690effd0e16edb99a6401bca5512bcff108081d6a2bf42d,8064.83
57ad3b66a1b203f319158c36b59f106015dd730a128abffcf18a6ec8c1b22733,7198.75
970e9c230b40720edf2b6fc732644faa18dd94b1e87a072692bbe0ba304e6266,8423.17
e4d787e169048de2f0eaf9dfd6976baec4496ee07d03315bf31a92df7fedf70d,2788.19
a5a60761b3bb72ec8add4d63fdf70515481f4808d44dd455c21c69f411e9dbf9,2540.99
994333931441bfdd7dd33dbc967087fcd820d40163a821118f5dffd388cbb247,7379.04
b35bb21f4edce9e4e3c05a58d40695fcc08fd5f18e544cadbf9c77cec381e4ff,9106.66
e326976c2764485fa665cb9fe5c47d3e6b6f94b6f37f2b06ba060230540c465b,5249.91
57bb8a17a5d2c6dd4ef98cb32dfbd7fcd4885a7e1e83b0b9204b7aa9fe3c5846,10935.37
399c12e3baca21bb917c8bece12299c72248c8d8f0ce02a2978a1913525999a4,8255.31
21489131ca012086c32037af2af964b7501e19e3e685ec33740f95dc2404b655,3745.06
e956fa176a0f6c75f784be7851f71a8e8e01d1f074c2fb04ab5c81c601a6b8be,3451.82
ed5440d79c4c9385f2832479b267b632d3d676dd49b3cdadf210a20e72dbfe4d,2933.61
49c749a9ec8b0e042c985ef82f3549f0e306d29f718249d4d3c673e434bb337a,11811.76
d8acd13947e6d55fcac903608e93d32b4bcb11c9f2aecd8d04ffd9e39bb172ac,1461.04
8c8d0f955a1d89c56fb2bdbd0b68a78797a7c4a27019cdb756b8ccdebad6223c,10791.17
2e1c066d91997c3e9df4de80c7661f0b34479ba997d6abae2d2ba43a9d4d57e6,8850.57
cf23f5dd04ec850be93852772fd19570e09deaf5cddb9373cf4816e7d16dea0c,3596.05
a74fd38cd27538a146ee0999dfef59bff08e023c94ac9c59902898f47a989a2e,6669.75
ff54496aad203545db7846dda24c08342597e0cc34b2dbd7eff414396089e8be,11207.93
e5dbcb97d22e484a655f0c793d710619cd020d2e784ff16682acb94d6351dd51,3894.36
e96c3d106641dd573cd4168b66c47963a865ba2fd4672d86f94a23606dcfaa87,5168.4
71b0cf4f3f5b42b6861dd0ae3a751040a470c253a45e1c9791e7166e9872181d,8618.75
21a089d53ff998662f3f51e001a799f90a54e54f62959e8e2314664c80cac55c,758.63
b6f07e8ffbd3c21c10eb9023c53ce1b42351f470d95bce84f25cd4cf25de10b0,10707.98
6a018ef1385142e69ca68f3599ebb3ab927ca94f125d3455c285e84fc671caf3,1064.2
d3e105ebb476aed804923977b7d366a85daf4c0ca97fad1d9dd405d4b8b76bb7,6170.82
8b1668abab94bcfedbd42928206ec0f2d81b6848e3c97268791f3db7911cb2f2,402.14
08fc1c97388acdb40bf0484db2941bbdb2d30cfbc00146624e4c8653f9d9a40d,7494.69
589690e5210bf063c6e42331a6ec53a71411dbb297ba644f3e0285f53d472826,8738.22
e076df9d1ef19fbd851892c41d1fd7c97348f30ed827f8ba55efbcf3c12b2284,4924.39
249369187565ddb0bfec6ac49fb149108800fa3229be294159583dd3a670963e,2618.8
36eb1834da389445efe1e3004fabc4e6911926e7a014d1374cd7979d90ac67db,8816.3
3a2120d181fc8e4a1a8892b6ec939eae459c3f9f027588737bdbba3d93693870,147.38
5d30a937be40cf7f47aaec75506b905964f9320f40cccae063bb6b5dec6035d6,190.79
3738c16fa8ae668bd23f6b5ae4089a15ec531bd22976350a3eef91f73b52600c,5524.88
b8ca0801eec9b3e825f0df52034fb03554aa2598f7ab55c67f18365a71d35891,342.94
0ac50c3627184e730ed73ae96f03964e7ab13028aeb4b4d8a7954152846028f2,10571.61
2eba4443f77577cd0f21c60553838fb87bc1d866e687c0bd6a3c6ec052c8eb72,7404.61
23a76cb5e7775e5db8da8a7b4926e30a445d9b9f80bea6f89a09c10f13c6f454,9110.5
92e1db41da714d68116c9be19433040ec91689f9ea5637960850942c021e0973,8172.94
b1b01ba8d7298ff577f1404c19eac0acb765213cfad215803bddbb4229be3f0a,6438.5
c6c53303d66d084439687e03317b32d1038ab9bf7ed5ad0133c2fbdd2fe99dec,7118.63
0ca7f5703fc9bfe4e84871b0a1e4f7499d587b740351a5cd45813c1d78a62001,2464.86
2e9b6398528453b7f6c4faa829250e93339e7f327c21489e16e8f128a62c5750,5918.13
a173ab478874b9d5d729758338ef854349ab797de37186e2392667fc11030e48,5664.69
2b43953e2c650dff9bafe33f219834fc88bd0a6c0cfd87c8fad2ee2fb288eafb,2177.2
c2e7e677376a88cb6a92b908f522d70eb9d7a6f2028a2236191f7c8872a64558,3826.66
638ce69d3371ee88c7245448eb4bb6eb486d4dcd9b9cf6b025a6743c4a9d2f6f,6561.45
95e0c3980871be51c5ba8a91da7f8a68e0bc9185e2725f67ad7678ffd93590c1,10456.05
1b207be416cfdad19191a7220a498a45ad3be2a4ed9f42a5c09d9f55554f108b,10549.36
8f6a8d66924f719e91d0a2f41c2a6fe214eb10a08bc2711c3f24d65fc6d60e0b,7897.2
f2f348c05b9963a52693f9157e506ade9cfa6bdad0c821bd36174e103a6adb8f,7886.19
efb6f45cf494baa60ceda934eb5fc65f95912f1807854b8f5d17f34ffd4498da,11189.46
c4a66d895288ea9a3cd9ae36d9b40adfb66c6101c6545f1502f6dcdeda495bcb,2303.71
16ad6d80f8490c1eaed3140e819832f418b191aaed77d7b8a7d0bcba126e1ff1,10438.95
b6d70e3ad741054b1635c010b0658c674a1b26340a10592495a3add65474072f,6294.41
03fd331a06590aaccddd3d90fc2d2a3e77022644deaafda10367cc738f7b9d37,4074.37
4b2fec752092b26a8ae4d81e7df58393b1020fa8ea666da8d408a6a2b5ddaeef,6384.93
888fd3ba4079bbdd84718486bcb90eb96a262168da1d83ed5ab5c753a9ddc760,4773.88
85c0a9671c091088373bd423336cf2e946a362c7ff0d2c1b2c10e0a5c6a5aa66,5080.13
b5a45bce180354594673984225f0db1a5b6790d7414de064203864234305bf2a,374.94
e71a8ded004e2eddbcabab82d59b0d61c2e8094133d9cc92f22a33b81524c963,2978.75
f278dee61b210a5872b3ae179b7aedf8d1260fddeb96516ae8be2244a9e4a11c,9769.98
24af4756380e47ebb570c3b0eb629a4817061b4df5b61e8e2b51ad56c5b91e55,7235.94
8133e69fb607338095db33f1c126a95dd6a0401b3eb272a7c178cee1ac0fabd2,11962.52
9cf5562ab5521d926d8a053cb6a727e3059e4da3f305dd817114f279f0e757e0,992.03
cc35c7cfc5488ad3ca849c67f4a049caf8054915a4caab574d1485857c2636fd,2677.77
dcc17682fd498f285122c2cacca4a8de807e9c968cbed3f02acc3424c2aa45ec,1722.02
f053923f620d7dd362c3bb9a5ab8b76a1ef4999e88364ce87779bc70fc9547ff,9123.17
f0a39db404d6a810127a457ec322b36645dcf20a90883f59dad062194b78e387,3174.85
1e44c9859f1dd9df264aec45c31c7e6d750c54d8a3253664a6a5f62d1d657db5,3952.71
932954b8941f1d93cea970db0aa67026c563933435b6756629b04f49c08010b5,11848.62
d925ae259a5a4ffe30b3f95ab27b479f454b9cc3f5c644fb0af102c4a135c8bf,5772.03
4ed042e0d49fa3baad53c6a3d0488d6e71bfd48f05d3f041b34d2dd05e04b0d9,10289.38
c74c3bfe335052acfd271dba5a088abbf53f8eb941b7c3f5d4669c7a140d091b,7268.38
fbe7aa02192ff812b4f96bde45c54abfdd7a7eead610d0b4f508475d4f15b2af,10203.61
86d7e28d034261dff1237b63331013dbe21f26dcfaf8cccdd78e27822d20acf8,5878.98
9d523ddf8cc9af57fb7e342451a8851cbaec5c975db7b58805a7848a202a2775,142.39
dfcc50d4c93ce12fb372bdb21ef90652747d0ff79524864d457953e2fdafec81,852.14
1953a077c824d854dcb605ed8164f8b051c7dd28ff11bec5d796bed3aa9ddb01,9182.61
ab4d4d0c08e8be79e91cbbeb1ae7256dcb966e25a79ccbf25cdd709ed467dd89,6383.45
490d315e004875c9d8bf9a4e40cf19db656cfb5f6ac42f8b06a886b1ac6e9bc7,5788.53
efe9b0cc957fc7cb53d9421db8bc82d3d795be2c93c2c30294bad504dd44b864,6731.68
a1ad1bfbdf1c1639f22ffcbdc5313cfdb38722c229fb09e620edcd1f40a2ee45,180.04
65afa39b5d59e72473cb8c46c15279c0d1c77daeec32110c73eaf9fbc229b020,4958.15
9d72bbf95dbf7d15726133e3fe2e97c2cfa827a04b5237bdd7d7dc2f0cc9c214,10859.6
d4058efd2142f31375b8386f90b49e0aafae7ed0d23bd967f1a2f934949e04ec,7729.5
bcd70856e375f1a0857262bbf2053526441a5c163a142bdc7867aac2eb1c3747,2320.14
47cff7447ea46aa9f179bf7feb8f38a40624f966d90f30c464b751ac2dd459e1,5794.53
627c30258912f5d7d07d45c478fd1fd4595b9c9e0c04b9e742f0e91afd1caea2,2005.1
1ca373a202b45f318f6b604f85ff837bf272a6dcf2f4aaa3e4a23795030f04e3,11880.11
6d75cd2245cb3a0cb2d6b346dca8fd4f8feaa9fae6859a9044c5288fa6b53739,5223.69
351133ae97d4aa2d100788c1f7e3121baa072a8359da5c347b156ac812cb8491,6066.84
98a2d42c79483aaf16e356f5d25ad3e61ce735e8a0dec1b3c4f2b479d1b0c789,4230.93
6390910c398463ccd71a28b5d62a3f51d5752bc62e5aa21cb2110ca852e0cc08,8624.04
42c48b8aafbedc57cfb837a16e3baf77cf24493adecc0f2807860b4c8d2233df,11263.67
3c9729c59868e647851a31f7901e0132a08c4aca17baefac071ba465e554287b,2679.2
53b6c624723b5d3ed48df5f80cbacf864bbf30eafb28bf3968b8ea1d54c5dfa2,819.7
e86b06220712f2a145b5be001849b7ba6baade6cbeebf7365b3354d0ee8f56e4,449.45
6e420c38bd2b978630210a9e88e15e1b13b2f6884a951b6e7f5c779231691b10,4414.23
94ec0610338c042fce60e60b67ba642aa7a4cab0b03ab8431b20fba09c8a908f,8984.37
9c1be33a352855dce1d25804034e5718413c19c302205948a0c9adfeee8b8242,3.82
8ceef6469331028704bbc8168008ec22edc2d69f80d42a4c2ebfe1bc59e7896a,10036.65
81aa5ee1d98ed2a4b472dc6a1b27e6890fe7bc82125c97aaac5bf864a6782714,9405.18
16df320bd26778f47a3900527c86d15038db784f431c79a08314871d641e57d1,6055.53
6126c67aaa9c769681288061cd602fc90ff6de59629a75c40d912ce551b86e02,551.94
978db589a53453e106d073895a6793b8f15e67f998632e76cb710c2cfc784970,6586.39
ebea4df340b362b5d7853f9d7f96b45afe18c5cd3549d224db3d4b65a4fae201,2751.59
a6197fb9d1a708b969a3c977c33672f5ff79000a06f6267ee1a8b0425591fad7,2478.04
b39bb5f8497c65c9bd5a2b26d47f68abfa290ed88aa311a6d93c3da21692c1a4,11345.68
a49de25f2e75a52d41e39c787b75929da135c65a01885d6b2f10cc2e9516f08c,9896.04
80f2437e29049014169944594686c3859bd2bc2ce067344053fdcfdafa93a484,11657.56
1ef9af46b80815b1097001a2e2f0f0a6e9438b513b78c91542bb3c6750042f23,3813.72
6c7355e515b40291226f6be0355553c4cb9c91e8997535f0c6744456ca8e0c4d,7656.42
18e1e1352bf2ca940daa44fda0c08eef7066a505b146011c513faa7de9fa298f,5880.28
5416dae33d89f464d03faf204ebf25b7ea0573972b9f566b8e96d78cad26160a,1300.28
a3790ff0b8ea8df56cc6af54f1c67fdb3d4799cbe3b472a3699d2eb6467d1398,1923.79
80c9f2db627a5775678a623cb1ec05c0cfc94f3b6c61c409438def7cb9029b1b,438.36
f0c171917eacb64b766b781a58ec19afb113ea6a6cf7217312c4b84de80cd073,6736.76
8a7fc84462d21db8d27453bd2ebf6d25439a2f7f1ee93b223ab36a8abf9f2c7c,1734.37
f6126e2a3e2a9d3d1c67d001e6ca743a9a29a0d4ca5e646f0baa78685c4a86fe,3741.38
e2b34f12e4e0776310b0f3158a94c43fd38ecbe9d0dbdf26f55f08c61398aa5c,4644.9
ab3e5b6d13f73d3a53a534349a6d3de7803d25b12cd0d71bd719ff84432203d7,4420.2
96ab5ca5d7f6a98b0c9fa0fd24e39d4bcc5fbe71f93e1c425612b5c691161b06,3258.47
fdf596c565ce25af77186b919bf40d6eb101bd37650a34726f8f3e7e36440967,1656.54
3d0fe4351e05c73016e45a89f0a9274dd79424fd51aa49d9b50368474dea3c48,4290.27
b2b3dc4add4d22a68d6466452bddb5f6e87f3b73906bdfdd6917fd4951662524,4395.36
e0bbc1b94d16c735367526bc3073484ca5c11e1e0c335819d9714d88ab47c493,11782.25
c35946386ff1907e800b6ff3e5b154a44a9ae623c020d1545f1da9925ef7ac05,11401.53
